Sample,nirS.004,nirS.005,nirS.007,nirS.008,nirS.016,nirS.018,nirS.021,nirS.025,nirS.036,nirS.041,nirS.042,nirS.050,nirS.052,nirS.057,nirS.059,nirS.065,nirS.067,nirS.073,nirS.075,nirS.081,nirS.084,nirK.001,nirK.005,nirK.006,nirK.018,nirK.025,nirK.027,nirK.030,nirK.032,nirK.034,nirK.038,nirK.042,nirK.044,nirK.047,nirK.048,nirK.053,nirK.059,nirK.070,nirK.073,nirK.074,nirK.088-2,nirK.100-2,nirK.101-2,nirK.105-2,nirK.142-2,nirK.147-2,nirK.174-2,amoA.011,amoA.012,amoA.034,amoA.039,amoA.056,amoA.060,amoA.066,Longitude,Latitude,site,plot,layer,point,timepoint,initial_pH,initial_soilTC,initial_soilTN,initial_soilTCN,SOC_mgC_g,SOCN,Al_mg_g_CD,Fe_mg_g_CD,Ca_mg_g_CD,Mn_mg_g_CD,Al_mg_g_AO,Fe_mg_g_AO,NO3_ugN_g_1m,NH4_ugN_g_1m,NO3_ugN_g_9m,NH4_ugN_g_9m,NO3_ugN_g_final,NH4_ugN_g_final,NO3_ugN_g_1m_cor,NH4_ugN_g_1m_cor,NO3_ugN_g_9m_cor,NH4_ugN_g_9m_cor,NO3_ugN_g_final_cor,NH4_ugN_g_final_cor,InorgN_1m,InorgN_9m,InorgN_final,NO3_ugN_g_9T1,NH4_ugN_g_9T1,InorgN_9T1,NO3_ugN_g_fT1,NH4_ugN_g_fT1,InorgN_fT1,NO3_ugN_g_fT9,NH4_ugN_g_fT9,InorgN_fT9,FeII_mg_g,FeIII_mg_g,Fe_HCl_mg_g,FeIIratio,ligninC_perc,litterC_perc,soilC_perc,soilCp_perc,Fe_CDTAO,sand_perc,silt_perc,clay_perc,soilC_decom_mg_g,q16S,qamoA.012,qamoA.034,qamoA.039,qamoA.011,qamoA.060,qamoA.066
BONA_M1_11,3.184783849,7.028981929,5.831839714,6.801159669,6.82709325,7.397051347,6.775137462,5.865495944,4.808449055,3.533479334,6.38938243,7.213266763,5.3528398,6.284241363,7.106630374,6.730405741,2.701531509,3.938895264,3.529860194,3.808148201,7.075342053,5.172999075,5.143577825,6.660419738,6.361245127,6.559504331,3.638360716,6.47399428,4.341516253,5.121003264,5.345784039,6.781828049,5.566603173,6.764124973,6.556624861,7.962197975,7.870656097,4.680481288,6.801863167,6.655401921,6.4535446,4.546547395,7.633418173,6.452567393,4.883860601,6.886407604,6.822591033,26.74641632,2.543759283,8.444618457,2.809732438,26.74641632,26.74641632,8.316751451,-147.478134,65.174454,BONA,Plot 004,M1,11,T0,4.15,96.39976186,5.594942156,17.22980491,96.39976186,17.22980491,2.493438815,10.11045718,0.294741797,0.054577051,2.580780859,5.16394827,1.28012954,55.42288487,3.51094916,12.25779115,1.919193703,10.99485031,1.28012954,55.42288487,3.51094916,12.25779115,1.919193703,10.99485031,56.70301441,15.76874031,12.91404401,2.23081962,-43.16509372,-40.9342741,0.639064163,-44.42803456,-43.7889704,-1.591755457,-1.262940844,-2.854696301,0.95809906,6.613339254,7.571438314,14.48737201,9.34578586,39.67837738,20.9934658,21.86961412,4.946508913,39.0506719,52.5200213,8.561912021,20.23765104,12564085983,203634149.8,0,77090385,0,0,0
BONA_M1_15,2.449281118,6.701725677,5.019284855,5.538769918,5.468913865,6.091765961,5.932958585,4.772496153,3.931943136,2.441890543,5.525936973,5.711437746,4.376902876,5.768553288,6.207580513,7.059856938,1.783070041,3.098283057,2.864483097,3.286202581,6.626495998,4.003751596,4.383776042,5.561969766,5.939520916,5.76723902,2.76237489,5.825788581,4.026801204,4.525771041,4.943299873,5.481191547,5.014128771,6.000392214,5.305388448,6.911978575,6.98171993,3.989218214,6.15620784,5.855069314,5.886633231,3.900152356,6.417371923,5.640644365,4.495513135,6.65726546,6.034600386,9.269763529,3.117890949,9.849240492,3.173214938,9.432153126,26.99707206,8.608252043,-147.478134,65.174454,BONA,Plot 004,M1,15,T0,4.53,72.54565768,2.905456424,24.96876466,72.54565768,24.96876466,2.539103329,10.98154833,0.280383297,0.093711843,2.849730401,5.807168688,0.063074485,0.759262789,7.677398181,4.248474251,1.368999896,5.773392331,0.063074485,0.759262789,7.677398181,4.248474251,1.368999896,5.773392331,0.822337275,11.92587243,7.142392227,7.614323696,3.489211462,11.10353516,1.305925411,5.014129541,6.320054952,-6.308398285,1.524918079,-4.783480205,0.213858101,6.096296424,6.310154525,3.508000367,6.01908074,38.58274291,19.70574874,23.61423915,5.174379646,39.14767096,54.21209118,4.955401388,14.29566502,10456804625,257586504.4,0,111449982.7,0,0,0
BONA_M1_3,2.598817103,6.092350711,5.572992238,6.069989618,5.827641485,6.314070148,6.303738845,5.927157079,3.903487429,2.579622534,5.911566056,5.861643078,4.334218097,5.612433394,6.471858963,6.421105252,1.873130736,3.348511099,3.161343917,3.130303333,6.748138984,4.142067536,5.06647992,6.092600883,5.762410993,5.750921455,2.973865692,5.909390509,3.814012661,4.74097175,4.778992081,5.567886003,4.459765877,6.223733286,5.5708714,6.705678444,6.812891168,4.055318033,6.055066659,6.261156413,5.871725533,4.721249575,6.371620083,5.997481631,4.498581539,6.92304313,6.27004692,9.236925979,3.158193463,9.64680102,3.340754876,9.831376978,26.93234531,8.489485203,-147.478134,65.174454,BONA,Plot 004,M1,3,T0,4.77,64.64750657,2.140514283,30.20185713,64.64750657,30.20185713,2.215125171,10.54141541,0.247462877,0.059730345,2.681092168,5.914341302,0.266970563,0.153032081,0,2.135723924,0.895354263,8.603996382,0.266970563,0.153032081,0,2.135723924,0.895354263,8.603996382,0.420002644,2.135723924,9.499350644,-0.266970563,1.982691843,1.71572128,0.628383699,8.450964301,9.079348,0.895354263,6.468272457,7.36362672,0.097585624,2.834160444,2.931746068,3.443193367,6.385695119,35.15792509,11.9120497,18.21886344,4.627074112,31.70133895,60.76933984,8.102578646,7.700843112,9701328895,308970511.6,0,141010887.5,0,0,0
BONA_M1_7,3.333978071,6.994229769,6.423960005,6.828665655,6.622214787,7.451034414,7.260817083,6.447527403,4.510303747,3.510534375,6.605330326,5.682090989,5.203082905,7.062759174,7.346836172,7.062583442,2.578466881,4.323415783,3.829839166,3.787609595,7.637808911,4.916183689,5.431028764,6.269651925,5.968611958,6.17821385,3.363303233,6.32696641,4.171561322,5.332374061,5.147801512,6.002720159,5.331123412,6.425901142,6.315486304,7.800106021,7.033292193,4.779581742,6.710738627,6.739406053,6.360269336,4.736889892,7.54899788,6.542582477,5.07086903,6.63820636,6.914308677,26.87228692,2.981681447,8.80187997,3.015401082,9.452666953,9.716607912,8.820984496,-147.478134,65.174454,BONA,Plot 004,M1,7,T0,4.31,119.9434573,4.48834413,26.72332019,119.9434573,26.72332019,4.588499035,15.27288912,0.284174224,0.036641764,4.871118101,11.04259421,-0.626038418,96.62195114,1.078025943,2.360042527,1.076938058,6.843656538,0,96.62195114,1.078025943,2.360042527,1.076938058,6.843656538,96.62195114,3.438068471,7.920594596,1.078025943,-94.26190861,-93.18388267,1.076938058,-89.7782946,-88.70135654,-0.001087885,4.483614011,4.482526126,0.564832501,9.624121585,10.18895409,5.86892524,4.616651248,28.91185451,11.37551977,10.55522465,4.230294911,38.82820258,51.34061569,6.35551142,13.6441917,10046724237,186641896.2,0,88189385.37,0,0,0
CPER_M1_11,2.558295399,6.456807126,5.308218211,6.662559959,5.14747367,4.908527631,6.072654503,5.824156455,3.89957937,1.758419354,4.671109794,5.817321622,3.696708212,5.620913545,5.817666192,6.567129696,1.609476264,3.01081936,2.817129287,3.175465618,6.708414707,4.489151127,5.140449081,5.234638446,6.673791486,6.382006271,2.43012455,6.034062891,4.151615474,4.939067377,4.607006803,5.230942766,5.185757561,5.674268315,5.154113779,6.764113641,5.951260123,4.503806657,6.600837368,6.84923177,6.095642582,4.251283311,6.352636318,6.117825127,4.890864243,6.067116651,7.656650557,25.23548617,3.109114165,25.23548617,3.268141035,25.23548617,25.23548617,7.952564229,-104.699535,40.850866,CPER,Plot 006,M1,11,T0,5.91,8.7280634,0.796812076,10.95372881,8.7280634,10.95372881,0.317087926,3.142907218,1.23967791,0.261839343,0.287460701,0.155190978,1.225242224,1.069917779,4.042978681,1.789425161,0.488808604,0.110305868,1.225242224,1.069917779,4.042978681,1.789425161,0.488808604,0.110305868,2.295160003,5.832403843,0.599114472,2.817736457,0.719507383,3.53724384,-0.73643362,-0.959611911,-1.696045531,-3.554170078,-1.679119293,-5.233289371,0.028449042,0.132102149,0.160551191,21.53563881,5.644657583,26.79061506,45.97508656,65.0699685,2.98771624,74.80237154,15.61264822,10.57312253,4.012734703,4165911156,155448359.5,0,60388805.69,0,0,0
CPER_M1_15,2.477510623,6.970798487,5.263644495,6.140353027,5.31743639,5.564663616,6.536888386,5.676479997,3.84802067,2.159546952,5.249379627,5.762295431,3.910346896,5.765615059,6.180434172,6.68652716,1.952477588,3.200736592,3.019079535,2.827798166,6.848647672,4.259849388,5.204133606,6.117376721,6.269273216,5.894205,2.597653253,5.4959723,4.607393887,5.156094142,4.667959899,5.458121573,5.139564865,6.110714534,5.491616797,6.626983387,6.431683865,4.286225062,6.45948953,6.795820333,5.253001857,4.348590257,6.866297302,6.190378421,4.753137451,7.402690008,6.71297169,25.91609887,2.845269233,25.91609887,3.159241949,25.91609887,25.91609887,8.449578397,-104.699535,40.850866,CPER,Plot 006,M1,15,T0,5.8,10.89167287,1.005241433,10.83488256,10.89167287,10.83488256,0.383378785,3.115791518,1.553547665,0.380783596,0.359310002,0.26990122,0.620325466,0.760722045,2.509113545,2.603802332,0.896811392,2.934464729,0.620325466,0.760722045,2.509113545,2.603802332,0.896811392,2.934464729,1.381047511,5.112915877,3.831276121,1.888788078,1.843080288,3.731868366,0.276485926,2.173742684,2.45022861,-1.612302152,0.330662397,-1.281639756,0.037644431,0.998747454,1.036391885,3.769164103,7.30617517,26.1778025,36.55599092,77.0254777,2.845890298,68.15034619,19.28783383,13.05637982,3.981558946,5819977277,203287289.7,0,76691479.63,0,0,0
CPER_M1_3,2.458837393,7.15116918,4.876367972,6.228067607,5.3983824,5.269736584,6.647103854,6.056834374,3.639148887,1.721686763,5.053573455,5.915311244,3.742115677,5.427899705,6.604378892,6.513020788,1.670193361,3.345529049,2.819420085,2.558626581,6.593413073,4.10475074,4.507648739,5.792829988,5.554463544,6.05359463,2.441542193,5.705457984,4.506393136,5.369396152,4.527821327,5.122883266,4.863905954,6.945128828,5.732990482,6.927388624,6.870450498,4.734499114,6.378177219,7.200871429,5.560594093,4.234776138,5.705360221,5.512042319,4.899698065,7.582179801,6.599358512,25.03869642,2.781020266,7.17386261,3.341225656,25.03869642,25.03869642,7.659823184,-104.699535,40.850866,CPER,Plot 006,M1,3,T0,6.1,10.94688163,0.883330298,12.39273877,10.94688163,12.39273877,0.297791226,2.403807071,1.064183337,0.213386322,0.269035142,0.234289933,0.771710243,0.294426013,1.919872842,2.23164796,0.847862374,2.187427426,0.771710243,0.294426013,1.919872842,2.23164796,0.847862374,2.187427426,1.066136256,4.151520802,3.0352898,1.148162598,1.937221947,3.085384546,0.07615213,1.893001413,1.969153543,-1.072010468,-0.044220534,-1.116231002,0.036135451,1.243646303,1.279781754,2.905605153,6.080377904,31.11683063,41.05935475,54.31202062,2.169517138,69.90196078,18.1372549,12.54901961,4.494718961,3481131147,129912910.2,0,54118750.71,0,0,0
CPER_M1_7,2.69653294,7.707289324,5.458248247,5.934281296,5.477770816,5.027854518,6.023925519,6.397561391,4.002119361,2.085231738,5.222848826,6.093916478,4.033690151,5.767011114,6.194722847,6.856160595,1.773505205,3.304920224,3.050093973,2.913914591,6.571121626,4.22426973,5.154774504,5.746616066,6.48138656,5.987714271,2.439658626,5.741303955,4.455564222,4.735615087,4.766961118,5.604803439,4.995659121,6.351381631,5.682549487,7.170897719,6.113188257,4.391608835,7.039190864,7.669220734,5.753714603,4.630217046,6.449630363,6.048578154,4.991264369,7.104164507,6.965605713,25.22633714,2.989484363,25.22633714,2.858599479,8.221698457,25.22633714,25.22633714,-104.699535,40.850866,CPER,Plot 006,M1,7,T0,5.68,10.2879656,0.889212435,11.56975004,10.2879656,11.56975004,0.343938766,2.895396837,1.204008296,0.246658004,0.345185675,0.257068152,2.184845699,0.191381135,1.635741282,2.628780948,0.498890289,3.031643569,2.184845699,0.191381135,1.635741282,2.628780948,0.498890289,3.031643569,2.376226834,4.264522229,3.530533858,-0.549104417,2.437399812,1.888295395,-1.68595541,2.840262434,1.154307024,-1.136850993,0.402862622,-0.733988371,0.035063755,1.082326186,1.117389941,3.239666134,5.455758578,27.98499041,42.79084186,60.79379936,2.638328685,71.23015873,18.65079365,11.01190476,4.40230709,3808474738,126945514.5,0,37986933.8,0,0,0
DSNY_M1_11,1.825387977,5.653097237,4.494676846,5.338199096,4.658350488,4.41557885,4.968921198,5.87759033,2.917912867,1.561853238,3.511184723,5.375105008,3.295914393,4.897241835,5.768485389,5.001915373,0.900514794,2.00884864,2.122155396,2.207366226,5.486822323,2.716042313,3.669022897,4.621089492,4.837407827,4.956691521,1.712981764,5.196665014,3.183080343,3.571704349,3.88793744,4.564569644,4.1016502,4.948717302,3.874371636,6.624472399,5.769458809,3.107741548,5.139055718,5.347596971,4.836260427,3.09705669,6.044363815,5.134762464,3.671910066,6.741965816,6.790392181,24.57447894,1.87421471,7.013019855,2.081201511,24.57447894,24.57447894,7.087804636,-81.418579,28.0967,DSNY,Plot 023,M1,11,T0,4.88,32.64947285,1.421498473,22.96834887,32.64947285,22.96834887,1.58686997,0.298309902,0.116123506,0.008966115,1.592917878,0.203118408,-0.096022064,-0.156951833,1.806277341,1.424921176,0.565409092,2.328993184,0,0,1.806277341,1.424921176,0.565409092,2.328993184,0,3.231198517,2.894402276,1.806277341,1.424921176,3.231198517,0.565409092,2.328993184,2.894402276,-1.240868249,0.904072008,-0.336796241,0.05047869,0.070435291,0.120913981,71.666759,3.638504573,21.03996949,21.73908567,16.949094,0.095191494,92.26248776,4.015670911,4.015670911,7.097696873,2938391984,155753290.8,0,91654944.33,0,0,0
DSNY_M1_15,1.44358094,5.971890374,4.119892611,4.751197327,4.129838906,4.245979867,4.819134087,5.19988436,2.736200725,0.966341959,3.465121832,4.799039193,2.803338313,4.275400371,4.91404823,5.823767756,0.659396466,1.57500511,2.068906212,2.203578697,5.177276122,2.667734259,3.385227165,4.369192808,5.128143501,5.082307689,1.870692223,4.838431214,3.242863013,3.858005458,3.887242689,4.184718896,3.768453792,4.820960992,4.019707899,5.512855179,6.061313876,3.419640109,4.509000567,5.583918929,4.702555592,2.840665961,5.184143692,4.66035467,3.316258156,6.905760862,6.01388423,24.31947661,1.571667665,6.163251132,2.040355121,24.31947661,24.31947661,24.31947661,-81.418579,28.0967,DSNY,Plot 023,M1,15,T0,5.07,25.7219095,1.191289647,21.59165033,25.7219095,21.59165033,0.431141613,0.317950025,0.086160482,0.007090208,0.463590562,0.205737285,0.272159542,0.181237408,6.085544872,1.438407051,0.709456403,1.277653801,0.272159542,0.181237408,6.085544872,1.438407051,0.709456403,1.277653801,0.453396949,7.523951923,1.987110204,5.813385331,1.257169643,7.070554974,0.437296862,1.096416393,1.533713254,-5.376088469,-0.16075325,-5.53684172,0.018719506,0.331716471,0.350435977,5.643224721,3.540919109,26.92881456,22.10771032,18.98129129,0.11221274,94.61077844,3.493013972,3.293413174,5.686525241,2592770801,147329604.9,0,84877168.03,0,0,0
DSNY_M1_3,2.19075477,6.553802666,5.067274558,6.325711477,5.032278742,5.015406224,5.946138233,5.474055422,3.509953682,1.778035098,4.429355511,4.966169797,3.526971862,4.542039371,6.073856709,5.969560195,1.30348843,2.378554822,2.809519712,2.254083398,6.59301541,3.01086494,4.001221898,5.178969305,5.655395632,5.127286894,2.024620135,5.666850553,3.342319129,4.244140023,4.125622116,4.815820509,4.613264899,5.046442503,4.402680277,5.617325695,6.260527329,3.488836587,5.778549616,5.977674743,5.021275217,3.821289297,6.319967476,5.715516193,3.897540066,6.832200037,6.243503346,25.61588094,3.008601106,25.61588094,3.20478935,25.61588094,25.61588094,25.61588094,-81.418579,28.0967,DSNY,Plot 023,M1,3,T0,4.5,53.63609054,2.572985757,20.84585598,53.63609054,20.84585598,0.881386517,0.445940832,0.107964322,0.006132053,1.038652262,0.407618149,0.978700371,1.066482785,5.966010056,0.830152009,0.714722801,0.745954983,0.978700371,1.066482785,5.966010056,0.830152009,0.714722801,0.745954983,2.045183156,6.796162065,1.460677785,4.987309685,-0.236330775,4.75097891,-0.26397757,-0.320527801,-0.584505371,-5.251287255,-0.084197026,-5.335484281,0.028530286,0.39885318,0.427383466,7.153079742,5.753625635,27.10934063,8.501576264,18.66357003,0.038322683,93.66471735,3.411306043,3.606237817,4.559913142,4945956204,256335178.5,0,100191719.6,0,0,0
DSNY_M1_7,1.659055324,5.851020564,4.89356124,5.777509988,4.558581433,4.63781228,5.505053588,4.999702442,2.682181749,0.840467636,3.351283891,5.107307642,3.077759241,4.586945929,5.41123529,6.033697834,0.722735751,2.009497631,2.003391443,2.33348076,6.646431735,2.95208501,3.685643065,4.400959913,5.036740421,4.480281752,1.724984756,5.447890056,2.704055486,3.740750872,3.611077613,4.594515021,3.444112658,4.868370916,4.232199107,5.625894139,5.619817607,3.512618796,4.586704453,6.37266827,4.212990323,3.327197025,6.267729816,5.286384192,3.519230241,6.406768412,5.871291925,24.10311992,2.24821495,24.10311992,2.151393343,24.10311992,24.10311992,24.10311992,-81.418579,28.0967,DSNY,Plot 023,M1,7,T0,4.98,28.51247825,1.261408416,22.60368482,28.51247825,22.60368482,0.312537536,0.346639407,0.133042834,0.011470722,0.324793132,0.306294815,1.128203713,1.25975095,4.087614822,1.915423937,0.870937489,8.40316293,1.128203713,1.25975095,4.087614822,1.915423937,0.870937489,8.40316293,2.387954663,6.003038759,9.274100419,2.959411109,0.655672987,3.615084097,-0.257266224,7.14341198,6.886145756,-3.216677333,6.487738993,3.27106166,0.024690146,0.23843413,0.263124276,10.35512223,4.292105734,28.12613051,18.48137532,13.27800081,0.040344592,95.17716535,3.346456693,2.952755906,5.269498119,1436276732,72002759.93,0,19767787.5,0,0,0
KONZ_M1_11,2.847866173,7.208705895,6.059508477,6.784319761,5.66578855,6.300672222,6.794909138,5.964623486,4.103276035,2.553294587,5.567988263,6.256640132,4.146930313,5.875558414,6.406612302,6.664566301,2.228012357,3.552408296,3.267101316,3.348173246,7.497970156,4.408998219,5.2509104,5.856801219,5.964065768,5.945624504,2.536439567,6.152068333,4.536909896,5.187478629,4.965789096,5.493888037,5.529810071,6.373980071,5.52267733,6.897158369,6.399695079,4.56569811,7.252702162,7.730396125,5.676693216,4.741451254,6.432417975,5.788720816,4.888334693,6.803944509,7.410566748,9.169669255,3.504512245,9.443787979,3.404852579,26.79396471,26.79396471,9.219355713,-96.555875,39.075067,KONZ,Plot 001,M1,11,T0,6.29,36.70998006,2.910884957,12.61127822,36.70998006,12.61127822,0.893894452,9.093894597,3.83375221,0.330239912,1.191950802,0.896520978,0.375677288,0.94367444,0.706469947,3.409884695,2.995596124,3.802313998,0.375677288,0.94367444,0.706469947,3.409884695,2.995596124,3.802313998,1.319351728,4.116354642,6.797910122,0.330792659,2.466210254,2.797002914,2.619918836,2.858639557,5.478558394,2.289126177,0.392429303,2.68155548,0.092121738,4.181878303,4.274000041,2.202879462,5.787149902,16.08799576,16.97884403,50.05742863,8.19737362,8.798240352,71.98560288,19.49610078,6.232930258,8781048602,207244690.1,0,93758063.11,0,0,0
KONZ_M1_15,2.456460283,7.011061909,5.851460792,6.175713955,5.421926796,5.737879903,6.31787636,6.251316262,3.951879118,2.241115458,5.409529819,6.072806727,4.010974721,5.606587251,6.00493146,6.133466608,1.939986677,3.311471958,2.948654438,2.894241586,6.730510542,4.153088596,4.934239098,5.420238783,5.965416255,6.082729459,2.400264987,5.721033422,4.088605977,4.917064612,4.493083464,5.324930441,4.879129536,6.289484547,5.084230372,7.288096854,6.574614192,4.384783774,6.774542734,7.045138639,5.7126923,4.800637354,7.15905969,6.223840843,4.699381758,7.507707,7.237849696,9.165854071,3.128509556,8.637232819,3.384774656,8.805963773,26.81072505,8.507598415,-96.555875,39.075067,KONZ,Plot 001,M1,15,T0,6.12,39.65905324,3.188844337,12.43681066,39.65905324,12.43681066,0.952987922,9.373456677,4.276181023,0.374352504,1.240429938,0.853048845,0.480592226,1.029963685,1.92862659,1.901206301,3.129617036,1.924854739,0.480592226,1.029963685,1.92862659,1.901206301,3.129617036,1.924854739,1.510555911,3.829832891,5.054471775,1.448034364,0.871242616,2.31927698,2.64902481,0.894891054,3.543915864,1.200990446,0.023648438,1.224638884,0.113095259,5.742773155,5.855868414,1.969349232,4.214919834,48.82256937,22.8329001,12.99443126,8.520407832,23.16441787,64.93956463,12.67113456,9.055312007,10566802376,263211567.3,0,118569571.2,0,0,0
KONZ_M1_3,2.821560807,7.243582482,5.991423875,7.26722354,5.804652552,6.511290958,7.032722207,6.783387039,4.357160573,2.744867992,5.855421888,6.575004775,4.341516281,6.408517842,6.622353648,6.947079986,2.503192811,3.780357349,3.552863337,3.555323075,7.453548333,4.665259246,5.707895439,6.159535852,6.354832942,6.665366712,3.023951296,6.360247168,4.544947663,5.596496858,5.317029762,6.223530168,6.023396232,6.952825859,5.827142405,7.821477453,7.043018119,5.167232634,7.005350854,7.560425087,5.887980723,4.56520205,7.528039318,5.897060407,5.046021474,7.128474949,7.308788278,26.65320865,3.008068684,9.206988989,3.546196306,26.65320865,26.65320865,8.354976821,-96.555875,39.075067,KONZ,Plot 001,M1,3,T0,6.06,39.71503568,3.157786641,12.57685847,39.71503568,12.57685847,0.91360506,8.002917899,3.555203107,0.31508432,1.150733409,0.652349694,0.470640253,1.055548754,1.257069506,1.659773607,1.47709959,4.083606983,0.470640253,1.055548754,1.257069506,1.659773607,1.47709959,4.083606983,1.526189007,2.916843113,5.560706573,0.786429253,0.604224853,1.390654106,1.006459337,3.028058228,4.034517566,0.220030084,2.423833376,2.64386346,0.16404798,5.198158229,5.362206209,3.155886613,4.169048253,51.22813123,16.88518204,15.78207443,7.350568205,17.65726941,70.03052613,13.06837453,6.705956071,9599704600,276259271.1,0,104221184.5,0,0,0
